road,count
連江縣南竿鄉中央大道,5
連江縣南竿鄉聚英路,2
連江縣南竿鄉福沃村福沃路,2
連江縣南竿鄉介壽村成功山路段,1
連江縣南竿鄉介壽村介壽路,1
連江縣南竿鄉中興嶺路段,2
連江縣莒光鄉大坪村復興路,1
連江縣南竿鄉復國路段,1
