road,count
彰化縣彰化市國聖里中山路三段,169
彰化縣彰化市延平里大埔路,160
彰化縣大村鄉福興村山腳路,135
彰化縣彰化市平和里中華西路,125
彰化縣福興鄉橋頭村彰鹿路七段,124
彰化縣彰化市南興里中山路一段,121
彰化縣花壇鄉中庄村中山路一段,114
彰化縣員林市三多里中山路二段,112
彰化縣彰化市新興里金馬路二段,109
彰化縣大村鄉美港村美港路,107
