road,count
澎湖縣馬公市縣204線,136
澎湖縣馬公市陽明里中華路,75
澎湖縣馬公市縣203線,67
澎湖縣馬公市縣201線,57
澎湖縣湖西鄉縣202線,49
澎湖縣馬公市光復里光復路,47
澎湖縣馬公市朝陽里中華路,35
澎湖縣馬公市朝陽里三多路,33
澎湖縣白沙鄉縣203線,32
澎湖縣馬公市西衛里光復路,28
