road,count
新竹市東區光復路一段,657
新竹市東區光復路二段,337
新竹市北區中正路,316
新竹市東區南大路,310
新竹市北區西大路,286
新竹市北區中山路,281
新竹市東區食品路,277
新竹市北區北大路,262
新竹市東區中華路二段,259
新竹市東區光復路,247
