road,count
臺東縣臺東市更生路,387
臺東縣臺東市中華路一段,272
臺東縣臺東市新生路,267
臺東縣臺東市正氣北路,231
臺東縣臺東市中華路二段,228
臺東縣臺東市更生北路,175
臺東縣臺東市正氣路,153
臺東縣東河鄉台11線,127
臺東縣太麻里鄉台9線,126
臺東縣成功鎮台11線,108
