road,count
屏東縣屏東市廣東路,487
屏東縣屏東市建國路,464
屏東縣屏東市民生路,456
屏東縣屏東市自由路,432
屏東縣屏東市中正路,418
屏東縣麟洛鄉中山路,303
屏東縣屏東市忠孝路,260
屏東縣屏東市林森路,190
屏東縣屏東市大連路,180
屏東縣屏東市復興路,176
