road,count
新竹縣竹北市中華路,965
新竹縣新豐鄉新興路,467
新竹縣竹北市中正西路,347
新竹縣竹北市博愛街,268
新竹縣竹北市中正東路,230
新竹縣湖口鄉成功路,222
新竹縣竹北市縣政二路,196
新竹縣竹北市自強南路,196
新竹縣湖口鄉新興路,182
新竹縣竹北市三民路,182
