road,count
嘉義市東區中庄里忠孝路,96
嘉義市東區後湖里忠孝路,73
嘉義市東區長竹里大雅路二段,59
嘉義市東區荖藤里忠孝路,56
嘉義市西區書院里中山路,52
嘉義市東區太平里新生路,50
嘉義市東區中山里中山路,49
嘉義市西區西平里博愛路二段,48
嘉義市西區書院里民族路,47
嘉義市西區香湖里文化路,45
