road,count
南投縣仁愛鄉台14甲線,262
南投縣南投市中興路,220
南投縣埔里鎮中正路,176
南投縣名間鄉彰南路,169
南投縣南投市彰南路二段,165
南投縣南投市彰南路三段,142
南投縣草屯鎮富寮里中正路,140
南投縣南投市南陽路,135
南投縣南投市復興路,131
南投縣南投市南崗三路,127
