road,count
臺南市永康區中華路,1084
臺南市北區公園路,697
臺南市永康區中山南路,680
臺南市東區裕農路,574
臺南市東區崇善路,557
臺南市東區東寧路,469
臺南市永康區中正南路,467
臺南市北區開元路,441
臺南市永康區大灣路,439
臺南市東區崇德路,423
