road,count
金門縣金城鎮民權路,136
金門縣金城鎮民生路,95
金門縣金寧鄉伯玉路一段,68
金門縣金寧鄉伯玉路二段,68
金門縣金城鎮環島北路一段,53
金門縣金城鎮民族路,43
金門縣金城鎮環島西路一段,41
金門縣金寧鄉環島北路一段,31
金門縣金寧鄉頂林路,26
金門縣金城鎮西海路三段,25
